chinese,thai_meaning,category,hsk_level
一半,ครึ่งหนึ่ง,,hsk1
一块儿,"ด้วยกัน, ด้วยกันทั้งหมด",,hsk1
一边,"ข้างหนึ่ง, พร้อมกัน, ในขณะเดียวกัน",,hsk1
上学,ไปโรงเรียน,,hsk1
上次,ครั้งที่แล้ว,,hsk1
下次,ครั้งต่อไป,,hsk1
下班,เลิกงาน,,hsk1
下车,ลงจากรถ,,hsk1
不大,"ไม่ใหญ่, ไม่มาก",,hsk1
不对,"ไม่ถูกต้อง, ผิด",,hsk1
中,"กลาง, ตรงกลาง, ใน, อยู่ใน",,hsk1
中学生,นักเรียนมัธยม,,hsk1
书包,กระเป๋านักเรียน,,hsk1
事,"เรื่อง, สิ่ง",,hsk1
们,พวก (ใช้เติมท้ายคำนามหรือสรรพนามเพื่อแสดงพหูพจน์),,hsk1
元,หยวน (หน่วยเงินตราจีน),,hsk1
关,"ปิด, เกี่ยวข้อง, ปิด (กริยา)",,hsk1
关上,ปิด (กริยา),,hsk1
出,"ออก, เกิดขึ้น, นอก",,hsk1
分,"ส่วน, นาที, คะแนน, แบ่ง",,hsk1
别,"อย่า, ไม่ต้อง, อื่น",,hsk1
前,"หน้า, ก่อน, ข้างหน้า",,hsk1
动,"เคลื่อนไหว, ขยับ",,hsk1
动作,"การเคลื่อนไหว, ท่าทาง",,hsk1
包,"กระเป๋า, ห่อ",,hsk1
北,ทิศเหนือ,,hsk1
半,"ครึ่ง, ส่วนหนึ่ง",,hsk1
半年,ครึ่งปี,,hsk1
南,ทิศใต้,,hsk1
口,"ปาก, ช่อง, ประตู, คน",,hsk1
右,ขวา,,hsk1
后,"หลัง, ข้างหลัง, หลังจาก",,hsk1
听到,ได้ยิน (โดยบังเอิญ),,hsk1
听见,ได้ยิน (ตั้งใจหรือไม่ตั้งใจ),,hsk1
呢,"นะ, เหรอ (ใช้ท้ายประโยคแสดงคำถาม, เน้นย้ำ, หรือแสดงความประหลาดใจ)",,hsk1
哥,พี่ชาย,,hsk1
哪些,อันไหนบ้าง,,hsk1
唱,ร้องเพลง,,hsk1
回到,กลับถึง,,hsk1
回去,กลับไป,,hsk1
国外,ต่างประเทศ,,hsk1
在家,อยู่ที่บ้าน,,hsk1
地,"พื้น, ที่ (ใช้เชื่อมคำกริยากับส่วนขยาย)",,hsk1
地上,บนพื้น,,hsk1
坏,"แย่, เสีย, ไม่ดี",,hsk1
坐下,นั่งลง,,hsk1
块,"ก้อน, ชิ้น, หน่วยเงิน",,hsk1
外,"ข้างนอก, ภายนอก",,hsk1
外国,ต่างประเทศ,,hsk1
女,"หญิง, ผู้หญิง",,hsk1
女孩儿,เด็กผู้หญิง,,hsk1
奶,นม,,hsk1
好玩儿,สนุก,,hsk1
妹,น้องสาว,,hsk1
姐,พี่สาว,,hsk1
子,"สิ่ง, ของ (ใช้เติมท้ายคำนาม)",,hsk1
字,"ตัวอักษร, คำ",,hsk1
家人,สมาชิกในครอบครัว,,hsk1
家里,ที่บ้าน,,hsk1
小学生,นักเรียนประถม,,hsk1
小孩儿,เด็ก,,hsk1
小朋友,"เด็กๆ, เพื่อนเด็ก",,hsk1
就,"ก็, ก็จะ, เพียงแค่",,hsk1
山,ภูเขา,,hsk1
左,ซ้าย,,hsk1
差,"ขาด, แตกต่าง, เกือบ",,hsk1
帮,ช่วย,,hsk1
常,"บ่อย, เสมอ",,hsk1
干,ทำ (กิจกรรมที่ต้องใช้แรง),,hsk1
干什么,ทำอะไร,,hsk1
弟,น้องชาย,,hsk1
得到,ได้รับ,,hsk1
忘,ลืม,,hsk1
您,คุณ (รูปสุภาพ),,hsk1
打车,เรียกรถแท็กซี่,,hsk1
找到,หาเจอ,,hsk1
拿,"หยิบ, ถือ",,hsk1
放,"วาง, ใส่, ปล่อย",,hsk1
放学,เลิกเรียน,,hsk1
教学楼,อาคารเรียน,,hsk1
日期,วันที่,,hsk1
早,"เช้า, แต่เช้า",,hsk1
是不是,ใช่หรือไม่ใช่,,hsk1
晚,"เย็น, ค่ำ, ดึก",,hsk1
有一些,มีบางส่วน,,hsk1
有时,บางครั้ง,,hsk1
有的,"บางคน, บางอย่าง",,hsk1
机票,ตั๋วเครื่องบิน,,hsk1
来到,มาถึง,,hsk1
树,ต้นไม้,,hsk1
楼下,ชั้นล่าง,,hsk1
次,"ครั้ง, คราว",,hsk1
歌,เพลง,,hsk1
正,กำลัง (แสดงการกระทำที่กำลังดำเนินอยู่),,hsk1
比,"เปรียบเทียบ, กับ",,hsk1
毛,"ขน, เงิน (หน่วยเงิน)",,hsk1
没事儿,ไม่เป็นไร,,hsk1
没什么,ไม่มีอะไร,,hsk1
洗,"ล้าง, ซัก",,hsk1
班,"ชั้นเรียน, กะ, งาน",,hsk1
球,"ลูกบอล, เล่น (กีฬา)",,hsk1
用,ใช้,,hsk1
电,ไฟฟ้า,,hsk1
电视机,โทรทัศน์,,hsk1
男孩儿,เด็กผู้ชาย,,hsk1
病,"ป่วย, การเจ็บป่วย",,hsk1
看,"ดู, อ่าน, ไปหา",,hsk1
真的,"จริงๆ, แท้จริง",,hsk1
着,กำลัง (แสดงการกระทำที่กำลังดำเนินอยู่ หรือสถานการณ์),,hsk1
睡,นอน,,hsk1
站,ยืน,,hsk1
笑,"หัวเราะ, ยิ้ม",,hsk1
第,"ลำดับที่, อันดับที่",,hsk1
第二,อันดับที่สอง,,hsk1
网上,ออนไลน์,,hsk1
网友,เพื่อนออนไลน์,,hsk1
老,"เก่า, แก่, อายุมาก",,hsk1
考,"สอบ, ทดสอบ",,hsk1
能,"สามารถ, ได้",,hsk1
花,"ใช้จ่าย (เงิน), ดอกไม้",,hsk1
行,"โอเค, ได้, เดินทาง",,hsk1
西,ทิศตะวันตก,,hsk1
记,"จำ, บันทึก",,hsk1
试,"ลอง, ทดสอบ",,hsk1
话,"คำพูด, เรื่อง",,hsk1
请问,ขอถามหน่อย,,hsk1
课,"บทเรียน, วิชา",,hsk1
课本,หนังสือเรียน,,hsk1
跑,วิ่ง,,hsk1
跟,"กับ, ตาม",,hsk1
路上,ระหว่างทาง,,hsk1
路口,"สี่แยก, ทางแยก",,hsk1
身上,บนตัว,,hsk1
车,"รถ, ยานพาหนะ",,hsk1
车票,ตั๋วรถ,,hsk1
这边,แถวนี้,,hsk1
送,"ส่ง, มอบ",,hsk1
那些,พวกนั้น,,hsk1
那边,แถวนั้น,,hsk1
雨,ฝน,,hsk1
面条儿,บะหมี่,,hsk1
页,หน้า (กระดาษ),,hsk1
风,ลม,,hsk1
飞,บิน,,hsk1
一生,ตลอดชีวิต,,hsk2
一部分,ส่วนหนึ่ง,,hsk2
上周,สัปดาห์ที่แล้ว,,hsk2
下周,สัปดาห์หน้า,,hsk2
不一会儿,"ไม่นาน, สักครู่",,hsk2
不一定,ไม่แน่นอน,,hsk2
不久,"ไม่นาน, ในไม่ช้า",,hsk2
不同,"แตกต่าง, ไม่เหมือนกัน",,hsk2
不够,"ไม่พอ, ไม่เพียงพอ",,hsk2
不太,"ไม่ค่อย, ไม่มากนัก",,hsk2
不如,"สู้ไม่ได้, สู้ไม่ไหว",,hsk2
不少,"ไม่น้อย, จำนวนมาก",,hsk2
不满,"ไม่พอใจ, ไม่ยินดี",,hsk2
中小学,ประถมศึกษาและมัธยมศึกษา,,hsk2
中年,วัยกลางคน,,hsk2
中级,ระดับกลาง,,hsk2
为,"เพื่อ, สำหรับ",,hsk2
举,"ยก, ชู",,hsk2
举手,ยกมือ,,hsk2
云,เมฆ,,hsk2
交,"แลกเปลี่ยน, ติดต่อ, ส่งมอบ",,hsk2
交朋友,"คบเพื่อน, สร้างมิตรภาพ",,hsk2
交给,"มอบให้, ส่งมอบให้",,hsk2
人们,"ผู้คน, ประชาชน",,hsk2
人数,จำนวนคน,,hsk2
亿,ร้อยล้าน,,hsk2
什么样,"แบบไหน, อย่างไร",,hsk2
今后,"ต่อไป, หลังจากนี้",,hsk2
从小,ตั้งแต่เด็ก,,hsk2
